2023-06-28 11:04:55,213 globalVars.py [line: 150] ERROR: 项目运行全局变值不存在，获取失败：>>> key=a
2023-06-28 11:05:04,253 globalVars.py [line: 150] ERROR: 项目运行全局变值不存在，获取失败：>>> key=a
2023-06-28 11:05:28,593 globalVars.py [line: 151] ERROR: 项目运行全局变值不存在，获取失败：>>> key=a
2023-06-28 11:07:36,263 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>.\APIAutoTestModel\common\sysFile\project_var.json
2023-06-28 11:22:24,682 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.json
2023-06-28 11:22:24,882 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.json
2023-06-28 11:22:25,262 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.json
2023-06-28 11:22:25,553 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.json
2023-06-28 11:22:25,702 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.json
2023-06-28 11:22:25,842 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.json
2023-06-28 11:22:27,812 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.json
2023-06-28 11:25:33,602 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.txt
2023-06-28 11:25:33,972 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.txt
2023-06-28 11:25:34,182 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.txt
2023-06-28 11:25:34,332 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.txt
2023-06-28 11:25:34,432 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.txt
2023-06-28 11:25:34,702 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.txt
2023-06-28 11:25:36,303 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.txt
2023-06-28 11:25:57,692 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.txt
2023-06-28 11:25:57,948 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.txt
2023-06-28 11:25:58,233 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.txt
2023-06-28 11:25:58,466 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.txt
2023-06-28 11:25:58,753 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.txt
2023-06-28 11:25:58,783 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.txt
2023-06-28 11:26:00,453 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.txt
2023-06-28 11:26:54,517 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>sysFile\project_var.txt
2023-06-28 11:27:44,860 fileOperation.py [line: 52] ERROR: 文件不存在, 获取数据失败: >>>.\sysFile\project_var.txt
